Rank,FirstName,LastName,Flight,LastEval,PromoRecomm,LastACA,DOE,TIG,DOR,TIS,SkillLevel,Fitness,PME_ALS,PME_NCOA,PME_SNCOA,PME_EJPME1,PME_EJPME2,PME_SNCOE,PME_EDO,PME_CMSOC,PME_CLC,PME_DSCA1,PME_DSCA2,EDU_ASSOCIATES,EDU_BACHELORS,EDU_MASTERS,EDU_DOCTORATE,Assignments,AssignmentsDate,AwardsDecs,AwardsDecsDate,ProfOrgMbr,LeadershipRoles,SupervisorNotes,RateeNotes,LastEdit
Amn,Alex,Smith,Alpha,7/26/25,Promote,6/1/23,9/11/25,0y 7m,9/3/25,0y 6m,1,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Deployment,Deployment: 03/15/2026,Federal/State Decoration,Federal/State Decoration: 03/15/2026,Other,Program Manager 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/15/26 4:29
Amn,Jordan,Johnson,Bravo,7/26/25,Promote,6/27/25,2/10/26,0y 2m,1/30/26,0y 1m,1,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,CAL EANGUS,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
Amn,Taylor,Williams,Charlie,12/10/25,Promote,6/25/25,5/17/25,0y 11m,4/30/25,0y 10m,1,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,TDY/Exercise; Deployment,TDY/Exercise: 03/14/2026; Deployment: 03/14/2026,Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 03/14/2026; Wing/Group/Squadron Airman of the Quarter or Year: 03/14/2026,,Supervisor 1 years; Program Manager 1 years; Flight Chief 1 years; Senior Enlisted Leader 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 22:59
Amn,Morgan,Brown,Delta,4/26/25,Promote,5/4/25,6/14/25,0y 10m,5/30/25,0y 9m,1,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Booster Club,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
Amn,Cameron,Jones,Alpha,1/25/26,Promote,7/29/25,5/26/25,0y 9m,6/15/25,0y 10m,1,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
Amn,Riley,Miller,Bravo,1/1/26,Promote,1/27/26,7/6/25,0y 8m,7/8/25,0y 8m,1,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,CAL EANGUS,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
Amn,Casey,Davis,Charlie,5/14/25,Promote,8/24/25,8/23/25,0y 7m,9/1/25,0y 7m,1,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Booster Club; Rising 6,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
Amn,Avery,Garcia,Delta,4/14/25,Promote,5/3/25,7/4/25,0y 8m,7/16/25,0y 9m,1,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
A1C,Parker,Rodriguez,Alpha,4/29/25,Promote,3/7/26,4/21/24,1y 4m,11/17/24,1y 11m,3,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Booster Club,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
A1C,Reese,Wilson,Bravo,2/12/26,Promote,2/24/26,1/3/24,0y 10m,5/7/25,2y 3m,3,Satisfactory,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,,,,,Booster Club; Rising 6; CAL EANGUS,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
A1C,Jamie,Martinez,Charlie,11/11/25,Promote,5/11/25,8/6/24,1y 1m,2/15/25,1y 7m,3,Satisfactory,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,Booster Club,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
A1C,Skyler,Anderson,Delta,7/20/25,Promote,9/28/25,4/19/24,1y 1m,2/15/25,1y 11m,1,Satisfactory,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,Rising 6,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
A1C,Drew,Taylor,Alpha,5/16/25,Promote,12/4/25,2/4/24,1y 7m,9/2/24,2y 2m,3,Satisfactory,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
A1C,Logan,Thomas,Bravo,4/21/25,Promote,10/15/25,10/14/23,1y 2m,2/5/25,2y 5m,3,Satisfactory,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,,,,,Booster Club,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
A1C,Quinn,Hernandez,Charlie,3/12/26,Promote,4/9/25,1/30/25,0y 4m,11/10/25,1y 2m,1,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Booster Club,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
A1C,Hayden,Moore,Delta,7/23/25,Promote,4/13/25,4/20/24,1y 0m,3/16/25,1y 11m,5,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Deployment,Deployment: 03/15/2026,,,CAL EANGUS,Supervisor 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/15/26 21:25
SrA,Blake,Martin,Alpha,8/18/25,Promote,6/5/25,7/12/23,1y 9m,6/22/24,2y 8m,3,Satisfactory,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Rising 6,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SrA,Rowan,Jackson,Bravo,3/17/25,Promote,11/4/25,12/30/21,1y 2m,1/7/25,4y 3m,5,Satisfactory,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SrA,Emerson,Thompson,Charlie,11/17/25,Promote,6/25/25,4/18/22,1y 2m,2/2/25,3y 11m,3,Satisfactory,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,,,,,,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SrA,Micah,White,Delta,2/27/26,Promote,2/7/26,9/29/21,1y 5m,10/17/24,4y 6m,3,Satisfactory,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SrA,Dakota,Lopez,Alpha,8/21/25,Promote,1/18/26,12/30/23,0y 10m,5/26/25,2y 3m,5,Satisfactory,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,TDY/Exercise,TDY/Exercise: 05/02/2020,,,Rising 6,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SrA,Phoenix,Lee,Bravo,8/29/25,Promote,2/8/26,11/7/23,0y 7m,9/1/25,2y 4m,3,Satisfactory,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,Rising 6,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SrA,Charlie,Gonzalez,Charlie,3/29/25,Promote,3/14/26,4/21/22,0y 9m,6/11/25,3y 11m,3,Satisfactory,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,,,,,,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SrA,Kendall,Harris,Delta,11/27/25,Promote,2/16/26,4/13/23,1y 8m,7/18/24,2y 11m,5,Satisfactory,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,TDY/Exercise,TDY/Exercise: 10/10/2025,,,Booster Club; Rising 6,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SrA,Sage,Clark,Alpha,9/3/25,Promote,3/17/25,6/8/22,1y 11m,4/29/24,3y 9m,5,Satisfactory,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SrA,Payton,Lewis,Bravo,8/12/25,Promote,2/5/26,8/10/22,1y 10m,5/15/24,3y 7m,3,Satisfactory,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SSgt,Harper,Robinson,Charlie,4/3/25,Promote,10/27/25,4/5/21,2y 8m,7/15/23,5y 0m,7,Satisfactory,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,ADOS,,Wing/Group/Squadron Airman of the Quarter or Year,Wing/Group/Squadron Airman of the Quarter or Year: 07/16/2025,Booster Club,Supervisor 3 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SSgt,Shawn,Walker,Delta,1/29/26,Promote,10/6/25,8/5/19,1y 6m,9/14/24,6y 8m,7,Satisfactory,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Deployment; ADOS,Deployment: 10/03/2021,Wing/Group/Squadron Airman of the Quarter or Year,Wing/Group/Squadron Airman of the Quarter or Year: 07/28/2026,Rising 6,Supervisor 1 years; Program Manager 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SSgt,Jules,Perez,Alpha,3/7/26,Promote,8/17/25,7/27/19,2y 0m,3/14/24,6y 8m,7,Satisfactory,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,TDY/Exercise,TDY/Exercise: 10/06/2021,Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 05/07/2023; Wing/Group/Squadron Airman of the Quarter or Year: 03/09/2025,Booster Club; Rising 6,Supervisor 1 years; Program Manager 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SSgt,Elliot,Hall,Bravo,1/5/26,Promote,11/8/25,4/11/18,1y 1m,3/3/25,7y 11m,7,Satisfactory,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,TDY/Exercise,TDY/Exercise: 05/03/2024,,,,Supervisor 5 years; Program Manager 2 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SSgt,Kris,Young,Charlie,3/9/26,Promote,2/12/26,7/12/18,2y 5m,10/15/23,7y 8m,5,Satisfactory,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,,Federal/State Decoration,Federal/State Decoration: 04/10/2025,,Supervisor 2 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SSgt,Lane,Allen,Delta,7/8/25,Promote,12/14/25,1/3/21,0y 8m,8/5/25,5y 3m,7,Satisfactory,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,TDY/Exercise; Deployment,TDY/Exercise: 02/17/2025; Deployment: 11/26/2025,Federal/State Decoration,Federal/State Decoration: 01/01/2019,,Supervisor 5 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SSgt,Milan,Sanchez,Alpha,7/28/25,Promote,6/27/25,10/30/18,0y 11m,5/2/25,7y 5m,5,Satisfactory,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,Federal/State Decoration,Federal/State Decoration: 03/21/2024,CAL EANGUS; Other,Supervisor 5 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SSgt,Spencer,Wright,Bravo,1/6/26,Promote,8/12/25,1/9/21,1y 9m,6/8/24,5y 2m,7,Satisfactory,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,TDY/Exercise,TDY/Exercise: 12/07/2022,Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 08/13/2021; Wing/Group/Squadron Airman of the Quarter or Year: 02/20/2026,Booster Club; Rising 6,Supervisor 4 years; Program Manager 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SSgt,Tatum,King,Charlie,1/14/26,Promote,8/24/25,4/5/19,0y 10m,5/17/25,7y 0m,5,Satisfactory,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,TDY/Exercise; WIT Team,TDY/Exercise: 02/19/2023,,,Rising 6,Supervisor 5 years; Program Manager 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
SSgt,Devon,Scott,Delta,11/26/25,Promote,3/14/26,3/6/21,0y 9m,6/24/25,5y 0m,5,Satisfactory,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,TDY/Exercise,TDY/Exercise: 10/29/2024,Federal/State Decoration,Federal/State Decoration: 05/23/2024,Rising 6,Supervisor 3 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
TSgt,Finley,Green,Alpha,5/15/25,Promote,10/10/25,3/13/19,2y 0m,3/13/24,7y 0m,7,Satisfactory,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,TDY/Exercise; Deployment; Mobilization; Group Staff,TDY/Exercise: 03/14/2026; Deployment: 03/14/2026; Mobilization: 03/14/2026,Federal/State Decoration; Wing/Group/Squadron Airman of the Quarter or Year,Federal/State Decoration: 03/28/2020; Wing/Group/Squadron Airman of the Quarter or Year: 01/24/2025,,Supervisor 6 years; Program Manager 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 20:47
TSgt,Kai,Baker,Bravo,11/27/25,Promote,12/9/25,7/15/13,1y 3m,1/3/25,12y 8m,7,Satisfactory,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,TDY/Exercise; Deployment; Mobilization; Stat Tour; ADOS; Wing Staff,TDY/Exercise: 09/13/2025; Deployment: 12/04/2018; Mobilization: 06/06/2019,Federal/State Decoration,Federal/State Decoration: 02/17/2025,Rising 6,Supervisor 5 years; Program Manager 2 years; Flight Chief 1 years,Maintain standards and continue development toward next milestone.,"Focused on growth, PME completion, and assignment opportunities.",3/14/26 12:00
